project_id;committer;time;additions;deletions
6;0;3024;41651;2
6;1;3023;22;55
6;1;3024;41651;2
6;1;3023;22;55
6;1;3023;965;392
6;1;3023;965;392
6;1;3022;1552;1123
6;1;3022;1451;1048
6;1;3012;120;93
6;1;3022;903;468
6;1;3011;336;416
6;1;3011;2;1
6;1;3011;10;9
6;1;3011;17;20
6;1;3012;105;79
6;1;3010;1051;709
6;1;3012;103;77
6;2;3010;17;17
6;2;2254;32;12
6;1;3010;6;5
6;2;3010;17;17
6;2;2253;109;111
6;1;2370;19;16
6;2;2254;32;12
6;1;3000;150;214
6;1;2368;24;96
6;3;2368;321;130
6;3;2368;321;130
6;2;2367;109;111
6;1;2367;32;7
6;1;2369;49;23
6;2;2367;1;0
6;1;2370;27;9
6;2;2367;0;0
6;2;2367;11;0
6;2;2367;11;0
6;2;2367;1;0
6;1;2366;602;465
6;2;2367;0;0
6;1;2365;233;1611
6;1;2366;700;497
6;1;2365;0;1485
6;1;2365;656;349
6;1;2365;0;1485
6;3;2365;475;239
6;3;2364;172;105
6;1;2364;233;126
6;3;2363;116;6
6;3;2365;332;273
6;1;2349;58;24
6;1;2349;650;327
6;1;2348;228;174
6;2;2339;152;156
6;1;2366;4;10
6;4;2339;25;32
6;1;2347;886;165
6;3;2319;3;3
6;4;2326;37;25
6;3;2319;3;3
6;4;2327;90;99
6;3;2318;0;4
6;2;2319;0;4
6;2;2318;25;3
6;3;2318;2538;1317
6;4;2318;25;3
6;3;2318;516;223
6;4;2319;0;4
6;1;2316;99;80
6;1;2316;62;0
6;1;2316;80;17
6;2;2315;873;169
6;3;2318;17;110
6;4;2314;844;846
6;2;2315;67;93
6;1;2314;58;30
6;4;2315;12;12
6;1;2302;197;179
6;4;2314;2;2
6;1;2300;1;1
6;1;2300;66;90
6;1;2300;0;1
6;4;2272;151;71
6;1;2298;58;30
6;1;2252;671;158
6;1;2249;381;685
6;1;2278;68;91
6;1;2250;221;119
6;4;2368;53;58
6;1;2250;221;119
6;1;2253;59;24
6;1;2367;161;21
6;2;2365;695;259
6;4;2367;7;12
6;4;2365;695;259
6;1;2365;138;109
6;2;2365;376;31
6;1;2365;138;109
6;1;2367;161;21
6;4;2365;210;16
6;1;2361;39;7
